City,IATA Code,Country,Resort,Ocean,River,Sea,Romantic,Romance,Couples,Caribbean,Relax,Tropics,Palm Tree,Sun,Swimming Pool,Water,Yellow,Beach,Trees,Coral Reef,Mountain,Amusement Park,Wildlife,Forest,City,Skyline,Building,Busy,Traffic,Car,Vehicle,Crowd,Festival,Basketball,Soccer,Stadium,Football,Baseball,Hockey,Hiking,Wetland,Meadow,Prairie,Ship,Cruise,Harbour,Island,Architecture,Warm,Desert,Bike,Cycling,Biking,Buffet,Eating,Food,Skiing,Chairlift,Snowbard,Ski,Hill,Snow,Cold,Winter,Ice,Path,Trail,Hiking,Hike,Walking,Backpacking,Exercise,Golf,Spa,Fair,Fishing,Horse,Sailing,Casino,Poker,Gambling,Alcohol,Drinking,Nightlife,Wilderness,Sky,Atmosphere,Nature,Animal,Plant,Rural,Quiet,Aurora,Glacier,Waterfall,Museum,Fun,Leisure,Friendly,Safe,Peace,Island,Adventure,Rock,Climbing,Mountaineer,Mountaineering,Mountain Climbing
Charleston,CHS,USA,Charleston Harbor Resort,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,NULL,NULL,Francis Marion National Forest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Home to marshes and bogs nearby,Meadows just outside the city,NULL,Carnival,Carnival,Great harbor for activities and water transport,NULL,Southern,NULL,NULL,Both,Both,Both,"Southern, Seafood","Southern, Seafood","Southern, Seafood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Awendaw Passage ,Awendaw Passage ,Awendaw Passage ,Awendaw Passage ,Awendaw Passage ,Awendaw Passage ,Awendaw Passage ,,Charleston Harbor Resort,,Yes,Stono River Stable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Beaches and Ships,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cleveland,CLE,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Cedar Point,NULL,NULL,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,NULL,NULL,Cleveland Cavalliers,NULL,FirstEnergy Stadium,Cleveland Browns,Cleveland Indians,NULL,NULL,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,NULL,NULL,Mtn,Mtn,Mtn,NULL,NULL,NULL,Brandywine Ski Resort,Brandywine Ski Resort,Brandywine Ski Resort,Brandywine Ski Resort,Brandywine Ski Resort,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Zen Metro Spa,,NULL,NULL,NULL,Jack Cleveland Casino,Jack Cleveland Casino,Jack Cleveland Casino,Jack Cleveland Casino,Jack Cleveland Casino,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Charlotte,CLT,USA,The Ballantyne,NULL,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Carowinds,NULL,NULL,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,NULL,NULL,Charlotte Hornets,NULL,Bank of America Stadium,Charlotte Panthers,NULL,Charlotte Hurricanes,NULL,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MTn,MTn,MTn,Southern,Southern,Southern,NULL,NULL,NULL,NULL,NULL,Occasional ,Occasional ,Occasional ,Occasional ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,The Ballantyne,,Yes,Horse Shadow Run,NULL,Harrah's Cherokee Casino ,Harrah's Cherokee Casino ,Harrah's Cherokee Casino ,Harrah's Cherokee Casino ,Harrah's Cherokee Casino ,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Charlotte Children's Museum,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Columbus,CMH,USA,NULL,NULL,Olentagy River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,NULL,NULL,NULL,Colombus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,NULL,NULL,NULL,Colombus Crew,Ohio Stadium,NULL,NULL,Colombus Blue Jackets,NULL,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aspen Ski and Board,Aspen Ski and Board,Aspen Ski and Board,Aspen Ski and Board,Aspen Ski and Board,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,The Woodhouse Day Spa,,NULL,Liberty Farm,NULL,Hollywood Casino Columbus,Hollywood Casino Columbus,Hollywood Casino Columbus,Hollywood Casino Columbus,Hollywood Casino Columbus,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Camaguey,CMW,Cuba,Brisas Santa Lucia,Atlantic Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Playa Santa Lucia,Tropical,Yes,Pico Tuquino,NULL,Rainforest,Bosque Estatal de Guajataca,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Reserva Ecologica Limones Tuabaeuqey,Reserva Ecologica Limones Tuabaeuqey,Reserva Ecologica Limones Tuabaeuqey,Reserva Ecologica Limones Tuabaeuqey,Reserva Ecologica Limones Tuabaeuqey,Reserva Ecologica Limones Tuabaeuqey,Reserva Ecologica Limones Tuabaeuqey,,Brisas Santa Lucia,,Yes,Rancho King Touristic Farm,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,NULL,Friendly and Inviting Locals,NULL,NULL,Puerto Rico,NULL,NULL,NULL,NULL,NULL,NULL
Cartagena,CTG,Colombia,Hotel Las Americas,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Playa Blanca,Tropical,Yes,NULL,Parque Flanagan,Rainforest,El Estanque,Cartagena,Cartagena,Cartagena,Cartagena,Cartagena,Cartagena,Cartagena,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tayrona National Park ,Home to marshes and bogs nearby,NULL,NULL,Holland America,Holland America,Great harbor for activities and water transport,NULL,South American,Warm place for the winter,NULL,NULL,NULL,NULL,Colombian,Colombian,Colombian,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,El Totumo Volcano,El Totumo Volcano,El Totumo Volcano,El Totumo Volcano,El Totumo Volcano,El Totumo Volcano,El Totumo Volcano,,Hotel Las Americas,,Yes,La Boquilla,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,La Chorrera Waterfall,Palace of Inquisition,Culturally Intriguing,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,Exciting country and culture,NULL,Nevado del Ruiz,Nevado del Ruiz,Nevado del Ruiz,Nevado del Ruiz
Cancun,CUN,Mexico,Dreams Cancun,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Puerto Morelos Beach,Tropical,Yes,NULL,NULL,Rainforest,Area de Proteccion de Flora y Fauna Yum Balam,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chichen Itza,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chichen Itza ,Chichen Itza ,Chichen Itza ,Chichen Itza ,Chichen Itza ,Chichen Itza ,Chichen Itza ,,Dreams Cancun,,NULL,Playa del Carmen,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Selvatica,Inca Ruins,Relaxing and Historic,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Willemstad,CUR,Curacao,Renaissance Curacao Resort & Casino,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Mambo Beach Blvd,Tropical,Yes,NULL,NULL,Marine Life,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,Curacao,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,South Caribbean,South Caribbean,South Caribbean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Renaissance Curacao Resort & Casino,,Yes,Ashari's Ranch,Yes,Renaissance Curacao,Renaissance Curacao,Renaissance Curacao,Renaissance Curacao,Renaissance Curacao,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Curacao,NULL,NULL,NULL,NULL,NULL,NULL
Daytona Beach,DAB,USA,Hilton Daytona Beach Oceanfront Resort ,Atlantic Ocean,NULL,Gulf of Mexico,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Daytona Beach,Tropical,Yes ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,Road,Road,Road,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Hilton Daytona Beach Oceanfront Resort ,,Yes,Shenandoah Stables,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Washington DC,DCA,USA,NULL,Atlantic Ocean,Potomac,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Six Flags America,NULL,NULL,Washington DC,Washington,Washington,Washington,Washington,Washington,Washington,Yes,Congress,Washington Wizards,DC United,RFK Stadium,Washington Redskins,Washington Nationals,Washington Capitals,NULL,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,"Colonial, Classical, Neoclassical, Embassy Lane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,Appalachian Trail,,Gaylord National Resort,,NULL,NULL,NULL,MGM National Harbor,MGM National Harbor,MGM National Harbor,MGM National Harbor,MGM National Harbor,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Smithsonian Museums,Cultural and Political Hub,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Lots to explore,NULL,NULL,NULL,NULL,NULL
Denver,DEN,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,Mount Elbert,Lakeside Amusement Park,Front Range,Arpaho and Roosevelt National Forests,Denver,Denver,Denver,Denver,Denver,Denver,Denver,Yes,NULL,Denver Nugets,Denver Rapids,Sports Authority Field,Denver Broncos,Denver Rockies,Denver Avalanche,Mt. Elbert,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Both,Both,Both,NULL,NULL,NULL,Vail,Vail,Vail,Vail,Vail,Yes,Yes,Yes,Yes,Mills Lake,Mills Lake,Mills Lake,Mills Lake,Mills Lake,Mills Lake,Mills Lake,,Omni Interlocken,,Yes,Hampden Equestrian Center,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Boulder Falls,Denver Art Museum,Gateway to the Outdoors,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,Rocky mountain wilderness,Exposed rock,NULL,NULL,NULL,NULL
Dallas,DFW,USA,Four Seasons Resort and Club,NULL,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Desert,NULL,NULL,Zero Gravity Thrill ,NULL,NULL,Dallas,Dallas,Dallas,Dallas,Dallas,Dallas,Dallas,NULL,State Fair of Texas,Dallas Mavericks,FC Dallas,Cotton Bowl,Dallas Cowboys,Dallas Rangers,Dallas Stars,NULL,Home to marshes and bogs nearby,Meadows just outside the city,Prairies nearby,NULL,NULL,NULL,NULL,NULL,NULL,In the middle of a desert,NULL,NULL,NULL,Southern,Southern,Southern,NULL,NULL,NULL,NULL,NULL,Occasional ,Occasional ,Occasional ,Occasional ,Cedar Ridge Preserve,Cedar Ridge Preserve,Cedar Ridge Preserve,Cedar Ridge Preserve,Cedar Ridge Preserve,Cedar Ridge Preserve,Cedar Ridge Preserve,,Four Seasons Resort and Club,,NULL,Dallas Equestrian Center,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dallas Museum of Art,Western Spirit,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Detroit,DTW,USA,NULL,NULL,Detroit River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Adventure Bay,NULL,NULL,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,NULL,Detroit Motor Show,Detroit Pistons,NULL,Ford Field,Detroit Lions,Detroit Tiger,Detroit Red Wings,NULL,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,Art Deco,NULL,NULL,Both,Both,Both,Contemporary,Contemporary,Contemporary,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,MGM Grand Detroit,,NULL,NULL,NULL,MGM Grand Detroi,MGM Grand Detroi,MGM Grand Detroi,MGM Grand Detroi,MGM Grand Detroi,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Henry Ford Museum,Motor City,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Newark,EWR,USA,NULL,Atlantic Ocean,Hudson River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Victorian Gardens Amusement Park,NULL,NULL,New York City,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nets, Knicks","NYC FC, NY Bulls",Yankee Stadium,"New York Giant, Jets","NY Yankees, Mets",New Jersey Flyers,NULL,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,Art Deco,NULL,NULL,NULL,NULL,NULL,Fine Dining,Fine Dining,Fine Dining,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MOMA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fort Lauderdale,FLL,USA,Hilton Ft Lauderdale Beach Resort ,Atlantic Ocean,Ft Lauderdale Canal,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Fort Lauderdale Beach,Tropical,Yes,NULL,Xtreme Action Park,Everglades National Park,Everglades National Park,Miami,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Miami Heat,NULL,Hard Rock Stadium,Miami Dolphins,Miami Marlins,NULL,Everglades National Park,Home to marshes and bogs nearby,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Barrier Island Nature Trail,Barrier Island Nature Trail,Barrier Island Nature Trail,Barrier Island Nature Trail,Barrier Island Nature Trail,Barrier Island Nature Trail,Barrier Island Nature Trail,,Hilton Ft Lauderdale Beach Resort ,,,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Grand Cayman,GCM,Cayman Islands,Grand Cayman Marriott Beach Resort,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,East End,Tropical,Yes,NULL,NULL,Marine Life,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,Cayman Islands,Caribbean,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Grand Cayman Marriott Beach Resort,,,Cayman Horse Riding,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Water Sports,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Cayman Islands,NULL,NULL,NULL,NULL,NULL,NULL
St. George's,GND,Grenada,Spice Island Beach Resort,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Carriacou,Tropical,Yes,NULL,NULL,Marine Life,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mt Qua Qua,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,Grenada,Italianate,Warm place for the winter,NULL,NULL,NULL,NULL,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Spice Island Beach Resort,,Yes,Footprint Grenada Horseback Riding,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Grenada,NULL,NULL,NULL,NULL,NULL,NULL
Havana,HAV,Cuba,Melia Habana,Atlantic Ocean,NULL,Gulf of Mexico,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Playas del Este,Tropical,Yes,Escambray Mountains,NULL,NULL,NULL,Havan,Havana,Havana,Havana,Havana,Havana,Havana,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaza de Armas,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Cuba,Cuban,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaza de Armas,Plaza de Armas,Plaza de Armas,Plaza de Armas,Plaza de Armas,Plaza de Armas,Plaza de Armas,,Melia Habana,,Yes,Iron Star Equestrian,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,El Nicho Waterfalls,Museum of the Revolution,Resorts,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Cuba,Distinct culture and history,NULL,NULL,NULL,NULL,NULL
Holguin,HOG,Cuba,Memories Holguin Beach Resort,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Guardalavaca,Tropical,Yes,Escambray Mountains,NULL,NULL,Parque Nacional la Mensura,Holguin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Plaza de lat Catedral,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Cuba,Cuban,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Memories Holguin Beach Resort,,Yes,Paraiso Gladisel Guardalavaca Casa Rentals,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Guayano Falls,NULL,Resorts,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,Cuba,Distinct culture and history,NULL,NULL,NULL,NULL,NULL
Houston,HOU,USA,The Houstonian Hotel,Atlantic Ocean,NULL,Gulf of Mexico,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Surfside Beach,Deciduous,NULL,NULL,FunPlex,NULL,Sam Houston National Forest,Houston,Houston,Houston,Houston,Houston,Houston,Houston,Yes,MLK Jr Grande Parade,Houston Rockets,Houston Dynamo,NULL,Houston Texans,Houston Astros,NULL,NULL,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,Mtn,Mtn,Mtn,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Brazos Bend State Park Elm,Brazos Bend State Park Elm,Brazos Bend State Park Elm,Brazos Bend State Park Elm,Brazos Bend State Park Elm,Brazos Bend State Park Elm,Brazos Bend State Park Elm,,The Houstonian Hotel,,Yes,Cypress Trails Equestrian Center,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Houston Museum of Natural Science,NULL,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
White Plains,HPN,USA,Doral Arrowwood Resort,Atlantic Ocean,Hudson River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,NULL,NULL,Harriman State Park,New York City,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Meadows just outside the city,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Both,Both,Both,NULL,NULL,NULL,Mad Rier Glen,Mad Rier Glen,Mad Rier Glen,Mad Rier Glen,Mad Rier Glen,Yes,Yes,Yes,Yes,Cranberry Lake Preserve ,Cranberry Lake Preserve ,Cranberry Lake Preserve ,Cranberry Lake Preserve ,Cranberry Lake Preserve ,Cranberry Lake Preserve ,Cranberry Lake Preserve ,,Doral Arrowwood Resort,,Yes,Kentucky Riding Stables,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MOMA,NULL,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
