City,IATA Code,Country,Resort,Ocean,River,Sea,Romantic,Romance,Couples,Caribbean,Relax,Tropics,Palm Tree,Sun,Swimming Pool,Water,Yellow,Beach,Trees,Coral Reef,Mountain,Amusement Park,Wildlife,Forest,City,Skyline,Building,Busy,Traffic,Car,Vehicle,Crowd,Festival,Basketball,Soccer,Stadium,Football,Baseball,Hockey,Hiking,Wetland,Meadow,Prairie,Ship,Cruise,Harbour,Island,Architecture,Warm,Desert,Bike,Cycling,Biking,Buffet,Eating,Food,Skiing,Chairlift,Snowbard,Ski,Hill,Snow,Cold,Winter,Ice,Path,Trail,Hiking,Hike,Walking,Backpacking,Exercise,Golf,Spa,Fair,Fishing,Horse,Sailing,Casino,Poker,Gambling,Alcohol,Drinking,Nightlife,Wilderness,Sky,Atmosphere,Nature,Animal,Plant,Rural,Quiet,Aurora,Glacier,Waterfall,Museum,Fun,Leisure,Friendly,Safe,Peace,Island,Adventure,Rock,Climbing,Mountaineer,Mountaineering,Mountain Climbing
Hartford,BDL,USA,NULL,Atlantic Ocean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Meadows just outside the city,NULL,NULL,NULL,NULL,NULL,"Classical, New England",NULL,NULL,Both,Both,Both,NULL,NULL,NULL,Ski Sundown,Ski Sundown,Ski Sundown,Ski Sundown,Ski Sundown,Yes,Yes,Yes,Yes,Metacomet Trail,Metacomet Trail,Metacomet Trail,Metacomet Trail,Metacomet Trail,Metacomet Trail,Metacomet Trail,,A Touch of Bliss Organic Spa,,Yes ,Folly Farm Stables,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Roaring Brook Falls,State Capitol Building,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Christ Church,BGI,Barbados,Bougainvillea Beach Resort,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Neptune Beach,Tropical,YEs,NULL,NULL,Marine Life,Tunxis State Forest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Barbados,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Bougainvillea Beach Resort,,Yes ,Barbados-Horse-Riding,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Harrison's Cave,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Barbados,NULL,NULL,NULL,NULL,NULL,NULL
Nashville,BNA,USA,NULL,NULL,Cumberland River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,NULL,NULL,Cheatham Wildlife Management Area,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Yes,Country Music,NULL,NULL,Nissan Stadium,Nashville Titans,NULL,Nashville Predators,NULL,Home to marshes and bogs nearby,Meadows just outside the city,NULL,NULL,NULL,NULL,NULL,"Colonial Revival, Country",NULL,NULL,Mtn,Mtn,Mtn,Southern,Southern,Southern,NULL,NULL,NULL,NULL,NULL,Occasional ,Occasional ,Occasional ,Occasional ,Montgomery Bell State Park,Montgomery Bell State Park,Montgomery Bell State Park,Montgomery Bell State Park,Montgomery Bell State Park,Montgomery Bell State Park,Montgomery Bell State Park,,Escape Day Spa & Salon,,Yes ,Juro Stables,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Country Music Hall of Fame,Music City,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bogota,BOG,Colombia,Hotel Guadaira,NULL,Bogota River,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,Tropical,NULL,Monserrate,Salitre Magico,Rainforest,Parque Nacional Natural Chingaza,Bogota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Estadio El Campin ,NULL,NULL,NULL,Lake Guatavita,Home to marshes and bogs nearby,Meadows just outside the city,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Occasional ,Occasional ,Occasional ,Occasional ,La Chorrera Waterfall Hiking,La Chorrera Waterfall Hiking,La Chorrera Waterfall Hiking,La Chorrera Waterfall Hiking,La Chorrera Waterfall Hiking,La Chorrera Waterfall Hiking,La Chorrera Waterfall Hiking,,Hotel Guadaira,,NULL,Riding Colombia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,La Chorrera Waterfall,National Congress,Lively,NULL,NULL,NULL,NULL,NULL,Exciting country and culture,Exposed rock,Nevado del Ruiz,Nevado del Ruiz,Nevado del Ruiz,Nevado del Ruiz
Boston,BOS,USA,NULL,Atlantic Ocean,Charles River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,NULL,NULL,NULL,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Yes,Boston Marathon,Boston Celtics,Boston Revolution,Fenway Park,Boston Patriots,NULL,Boston Bruins,NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,"Colonial, Contemporary, Classical",NULL,NULL,Both,Both,Both,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,Boston Harbor Islands National Recreation Area,NULL,Boston Harbor Islands National Recreation Area,NULL,NULL,NULL,NULL,,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Harvard University,Cultural Hub,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aguadilla,BQN,Puerto Rico,Christopher Columbus Resort,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Crash Boat Beach,Tropical,Yes,Cerro de Punta,NULL,Rainforest,Bosque Estatal de Guajataca,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cueva Ventana,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Puerto Rico,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,Caribbean,Caribbean,Caribbean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cueva Ventana,Cueva Ventana,Cueva Ventana,Cueva Ventana,Cueva Ventana,Cueva Ventana,Cueva Ventana,,Christopher Columbus Resort,,Yes,Tropical Trail Rides,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Gozalandia Waterfall,NULL,Relaxing,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Puerto Rico,NULL,NULL,NULL,NULL,NULL,NULL
Burlington,BTV,USA,Green Mountain Suites,NULL,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,Mount Mansfield,NULL,Green Mountain Forest,White Mountains,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Burlington Carousel Festival,NULL,NULL,NULL,NULL,NULL,NULL,Green Mountain Forest Park,Home to marshes and bogs nearby,Meadows just outside the city,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Both,Both,Both,NULL,NULL,NULL,Lake Placid ,Lake Placid ,Lake Placid ,Lake Placid ,Lake Placid ,Yes,Yes,Yes,Yes,Mt Mansfield Trail,Mt Mansfield Trail,Mt Mansfield Trail,Mt Mansfield Trail,Mt Mansfield Trail,Mt Mansfield Trail,Mt Mansfield Trail,,Green Mountain Suites,,Yes,Cottonwood Stables LLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Bingham Falls,NULL,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Buffalo,BUF,USA,NULL,NULL,Erie Canal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,SeaWorld,NULL,NULL,Buffalo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Buffalo Bills,NULL,Buffalo Sabres,NULL,Home to marshes and bogs nearby,Meadows just outside the city,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,Art Deco,NULL,NULL,Both,Both,Both,Classic American,Classic American,Classic American,Buffalo Ski Club,Buffalo Ski Club,Buffalo Ski Club,Buffalo Ski Club,Buffalo Ski Club,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,Buffalo Equestrian Center,NULL,Seneca Buffalo Creek Casino,Seneca Buffalo Creek Casino,Seneca Buffalo Creek Casino,Seneca Buffalo Creek Casino,Seneca Buffalo Creek Casino,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Niagara Falls,Buffalo City Hall,NULL,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Burbank,BUR,USA,NULL,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Desert, Tropical",NULL,Mount Shasta,Disneyland,NULL,Angeles National Forest,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Los Angeles Angels,"LA Kings, Ducks",Wildwood Canyon Park,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Warm place for the winter,In the middle of a desert,Both,Both,Both,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Wildwood Canyon Park,Wildwood Canyon Park,Wildwood Canyon Park,Wildwood Canyon Park,Wildwood Canyon Park,Wildwood Canyon Park,Wildwood Canyon Park,,Burbank Spa & Garden,,NULL,Briffifth Park Horse Rentals,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hollywood Walk of Fame ,LA!,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baltimore,BWI,USA,NULL,Atlantic Ocean,Potomac,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,Six Flags America,NULL,NULL,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,NULL,NULL,NULL,NULL,M&T Bank Stadium,Baltimore Ravens,Baltimore Orioles,NULL,NULL,Home to marshes and bogs nearby,NULL,NULL,Carnival,Carnival,Great harbor for activities and water transport,NULL,Art Deco,NULL,NULL,Both,Both,Both,"BQQ, Seafood","BQQ, Seafood","BQQ, Seafood",Blue Knob,Blue Knob,Blue Knob,Blue Knob,Blue Knob,Yes,Yes,Yes,Yes,Gwynns Falls Trail,Gwynns Falls Trail,Gwynns Falls Trail,Gwynns Falls Trail,Gwynns Falls Trail,Gwynns Falls Trail,Gwynns Falls Trail,,Fours Seasons Hotel Baltimore,,NULL,Triple Turn Farm,NULL,MGM National Harbor,MGM National Harbor,MGM National Harbor,MGM National Harbor,MGM National Harbor,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Muddy Creek Falls,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
